Voltage,Time
+01.73798E+00RV,1702319498.598869
+01.73797E+00RV,1702319501.682215
+01.73796E+00RV,1702319502.4713619
+01.73795E+00RV,1702319503.2340853
+01.73795E+00RV,1702319504.0330906
+01.73795E+00RV,1702319504.7714088
1702319505.6245775,+01.73794E+00RV
+01.73795E+00RV,1702319506.4608674
1702319507.2179189,+01.73794E+00RV
1702319508.0160687,+01.73794E+00RV
1702319508.7734447,+01.73793E+00RV
+01.73793E+00RV,1702319509.6121953
+01.73793E+00RV,1702319510.4677563
+01.73793E+00RV,1702319511.2116714
+01.73791E+00RV,1702319511.9729116
1702319512.8084722,+01.73791E+00RV
1702319513.6786199,+01.73779E+00RV
1702319514.60799,+01.73545E+00RV
+01.73787E+00RV,1702319515.4048443
1702319516.278772,+01.73450E+00RV
+01.73611E+00RV,1702319517.1810918
+00.43181E+00RV,1702319518.1802049
1702319519.4443877,+00.51988E+00RV
1702319520.0122404,+00.57500E+00RV
+00.60603E+00RV,1702319521.0945966
+00.61962E+00RV,1702319521.6670282
1702319522.643274,+00.62959E+00RV
1702319523.5224617,+00.62590E+00RV
1702319524.102871,+00.62286E+00RV
+00.62079E+00RV,1702319525.0406606

##AA battery with voltage Range 2V and the Rel on
## NV therefore may be Normal Voltage? 
