Date and time,11/12/2023 14:41:28
Voltage,Time
+00.54295E+00RV,1.128464937210083
2.581432342529297,+00.54069E+00RV
+00.53946E+00RV,3.3370184898376465
+00.53786E+00RV,4.1121461391448975
4.883552551269531,+00.53647E+00RV
+00.53479E+00RV,5.717941045761108
6.632330894470215,+00.53319E+00RV
+00.53134E+00RV,7.567412376403809
+00.52955E+00RV,8.477296113967896
9.38506293296814,+00.52775E+00RV
10.246137380599976,+00.52643E+00RV
+00.52666E+00RV,11.08572769165039
+00.52960E+00RV,11.961648941040039
12.886170625686646,+00.52778E+00RV
13.779743194580078,+00.52540E+00RV
+00.52283E+00RV,14.89798903465271
+00.52093E+00RV,15.905955076217651
17.02460479736328,+00.51892E+00RV
+00.51697E+00RV,18.01409125328064
19.05741262435913,+00.51513E+00RV
20.026764392852783,+00.51335E+00RV
+00.51125E+00RV,21.1844584941864
22.229763984680176,+00.50952E+00RV
+00.50885E+00RV,23.204278469085693
24.263875007629395,+00.50707E+00RV
25.468366622924805,+00.50529E+00RV
26.525506258010864,+00.50347E+00RV
27.477986812591553,+00.50170E+00RV
28.68502688407898,+00.49962E+00RV
31.654794454574585,+00.49442E+00RV
