Voltage,Time
+00.23133E+00NV,1702319397.5258505
1702319400.925294,+01.70136E+00NV
1702319401.7295487,+01.69000E+00NV
1702319402.4426425,+01.61298E+00NV
1702319403.179638,+00.60692E+00NV
1702319403.927708,+00.44628E+00NV
1702319404.6816096,+00.73572E+00NV
+00.38807E+00NV,1702319405.4598167
+00.54162E+00NV,1702319406.224391
1702319407.0760114,+00.76957E+00NV
+01.49041E+00NV,1702319407.8755305
1702319408.6211035,+01.55239E+00NV
1702319409.3850832,+01.69196E+00NV
1702319410.1912138,+01.69195E+00NV
1702319411.011691,+01.69196E+00NV
1702319411.8392088,+01.69196E+00NV
1702319412.6647546,+01.69196E+00NV
1702319413.584903,+01.69196E+00NV
1702319414.4695773,+01.69196E+00NV
+01.69195E+00NV,1702319415.2409692
1702319416.1194077,+01.69195E+00NV
1702319417.0017188,+01.69194E+00NV
1702319417.7913585,+01.69194E+00NV
+01.69193E+00NV,1702319418.6768649
1702319419.4790757,+01.69192E+00NV
1702319420.2412803,+01.69192E+00NV
1702319421.0602646,+01.69192E+00NV
1702319421.8947706,+01.69191E+00NV
+01.69190E+00NV,1702319422.843602
+01.69188E+00NV,1702319423.7105668

##AA battery with Voltage Range of 2V 
